year,country,cyc2,cyc_katz,broker,eigen,country_name,GDP,new_cb_firms,CB_Firms_Cumulative
2016,AFG,0,0,0,0.4260140128523697,Afghanistan,18116572395.0772,5,95
2016,AGO,0,0,0,0.42601401285236973,Angola,59878249719.3279,9,162
2016,ALB,0,0,0,0.5040044199346387,Albania,11988668784.6628,20,316
2016,AND,0,0,0,0.5870000322975214,Andorra,2896611878.6258,6,57
2016,ARE,10624144717577.568,4.96134502592227e-7,0.01092896174863388,0.9709031582979963,United Arab Emirates,381717086453.37,983,18868
2016,ARG,5841735407443350,5.031933723254056e-5,0,0.8527878136573119,Argentina,557532320662.955,295,11090
2016,ARM,0,0,0,0.4594044384824727,Armenia,10546136235.5219,33,352
2016,ATG,0,0,0,0.5118146991883772,Antigua & Barbuda,1489603703.7037,2,19
2016,AUS,285852201393835230,0.003259938106390692,0,0.8660082204428309,Australia,1211588128417.61,3200,80321
2016,AUT,29198466708570980,2.8208165877030567e-4,0,0.8989055263673543,Austria,393687359770.273,321,7558
2016,AZE,0,0,0,0.45940443848247264,Azerbaijan,37866996882.9157,25,474
2016,BDI,0,0,0,0.4594044384824727,Burundi,2618093125.14687,0,8
2016,BEL,5962206280479280,5.5696457508691566e-5,0,0.9083741874866967,Belgium,474271566739.729,659,17454
2016,BEN,0,0,0,0.4260140128523696,Benin,11821065853.3838,8,55
2016,BFA,0,0,0,0.4594044384824727,Burkina Faso,12833363045.3367,2,56
2016,BGD,0,0,0,0.4382325397858904,Bangladesh,265224515675.034,242,2872
2016,BGR,28518500237747960,2.6167527864817686e-4,0,0.5246150808150879,Bulgaria,53929397039.2106,109,1984
2016,BHR,0,0,0,0.4798015077804203,Bahrain,33884680851.0638,35,563
2016,BHS,61913928246.762596,1.0970957475819887e-9,0,0.5118146991883772,Bahamas,11880900000,9,169
2016,BIH,0,1.191047260817868e-12,0,0.5082340626376024,Bosnia & Herzegovina,17116926553.8513,26,276
2016,BLR,3213258034286489,2.88878573670992e-5,0,0.5211219139384096,Belarus,47723545321.259,33,358
2016,BLZ,20353395376.41071,3.9616223634908465e-9,0,0.492020034713941,Belize,2239604950,9,118
2016,BMU,0,0,0,0.49202003471394096,Bermuda,6899911000,9,254
2016,BOL,0,0,0,0.4798015077804202,Bolivia,33941126193.9219,4,253
2016,BRA,20711779187834452,1.9850879536864596e-4,0.00546448087431694,0.899386850748016,Brazil,1795693265999.04,2712,80610
2016,BRB,0,0,0,0.5410203220519837,Barbados,5674600000,3,148
2016,BRN,0,0,0,0.5089836884818645,Brunei,11400266044.6651,1,53
2016,BTN,0,0,0,0.4594044384824727,Bhutan,2357504760.78592,1,27
2016,BWA,0,0,0,0.49202003471394096,Botswana,15082637184.0496,4,160
2016,CAF,0,0,0,0.4260140128523698,Central African Republic,1825018144.65595,0,4
2016,CAN,467397734199333e4,0.04164519876346362,0,0.8530945226064691,Canada,1527994741907.43,3594,83849
2016,CHE,403940608407671900,0.003429996684025882,0,0.8544876533742323,Switzerland,687895460902.713,1076,29050
2016,CHL,3773023169335.2266,1.4960632288563147e-7,0,0.49202003471394096,Chile,249344863928.438,209,4150
2016,CHN,45695311151210185e3,0.39924637484521375,0.04906022938809824,0.5918998266495027,China,11456024084962,3334,65402
2016,CIV,0,0,0,0.4594044384824726,Côte d’Ivoire,48407761036.8238,21,244
2016,CMR,0,0,0,0.4137400418433583,Cameroon,33814337044.3765,25,226
2016,COG,0,0,0,0.45940443848247264,Congo - Brazzaville,10931328150.8478,0,17
2016,COL,32140296117.610813,3.236733547851145e-9,0,0.8655830124314322,Colombia,282720100286.228,396,10089
2016,COM,0,0,0,0.4137400418433583,Comoros,1012835493.19325,0,8
2016,CPV,0,0,0,0.4798015077804203,Cape Verde,1849789985.99572,0,28
2016,CRI,0,0,0,0.492020034713941,Costa Rica,58847019609.6549,49,1106
2016,CUB,0,0,0,0.30058542101848773,Cuba,91370407900,4,35
2016,CYP,49018905783158090,4.500104259559379e-4,0,0.5743331241749845,Cyprus,21046462280.5979,144,1464
2016,CZE,5116296404250799,5.2051135848163455e-5,0,0.592071887785973,Czechia,198160659303.939,285,8148
2016,DEU,7566294575734361e4,0.6201034869219868,0.00546448087431694,0.9115041469261235,Germany,3536787895179,2711,87007
2016,DJI,0,0,0,0.4260140128523697,Djibouti,2604955228.70117,1,12
2016,DMA,0,0,0,0.5020539317797255,Dominica,612711111.111111,0,17
2016,DNK,41093399922847830,3.5316606885205104e-4,0,0.813983219768745,Denmark,312181849372.233,567,13209
2016,DOM,0,1.7486012637846216e-12,0,0.47980150778042024,Dominican Republic,75552902635.7075,22,627
2016,DZA,0,0,0,0.48186686697576725,Algeria,180763839522.151,15,284
2016,ECU,0,0,0,0.45940443848247275,Ecuador,97671433000,35,986
2016,EGY,2600355320.524211,1.387046033585193e-11,0,1,Egypt,332441717791.411,241,3522
2016,ESP,2.3487083069065722e+17,0.0020419996935574503,0.00546448087431694,0.8775767543582251,Spain,1243015667917.12,1991,49743
2016,EST,1978655837321857.5,1.752559207401916e-5,0,0.5657046921241377,Estonia,24561027787.7896,205,1934
2016,ETH,0,0,0,0.4260140128523696,Ethiopia,68475871209.607,26,300
2016,FIN,1317774214482272300,0.012512189675790486,0,0.5985015399938738,Finland,238777818792.608,463,9292
2016,FJI,0,0,0,0.49202003471394096,Fiji,4930213644.36653,1,70
2016,FRA,2955655989920470500,0.025879839259886683,0,0.8779536423362698,France,2470407619777.13,2846,71612
2016,FRO,0,0,0,0.5801022775087108,Faroe Islands,2813278868.78208,2,28
2016,FSM,0,0,0,0.4137400418433584,Micronesia (Federated States of),325000000,0,1
2016,GAB,0,0,0,0.45940443848247264,Gabon,14023890265.3665,2,23
2016,GBR,29006660033122714e3,0.2377501304572982,0.00546448087431694,0.8364387782558385,United Kingdom,2706807606538.73,7711,179085
2016,GEO,0,5.1958437552457326e-14,0,0.45940443848247264,Georgia,15444548901.9637,32,352
2016,GHA,0,2.70637290356035e-10,0,0.47980150778042024,Ghana,56144179397.8516,73,1036
2016,GIN,0,0,0,0.45940443848247264,Guinea,8595955222.49719,1,35
2016,GMB,0,0,0,0.4594044384824727,Gambia,1484578885.97132,2,31
2016,GNB,0,0,0,0.4260140128523696,Guinea-Bissau,1245074264.10396,0,2
2016,GNQ,0,0,0,0.36122239742824624,Equatorial Guinea,11240808847.8878,0,8
2016,GRC,5482488702304.317,2.0818605905859044e-7,0,0.5806355500338763,Greece,193097239005.87,165,6410
2016,GRD,0,0,0,0.49202003471394096,Grenada,1061640740.74074,1,35
2016,GTM,0,0,0,0.4594044384824727,Guatemala,66053408205.8838,22,439
2016,GUY,0,0,0,0.4137400418433584,Guyana,4482697336.56174,6,51
2016,HKG,1107845691037196400,0.012275103996708392,0.01092896174863388,0.7351778930459015,Hong Kong SAR China,320860317562.562,657,12307
2016,HND,604870533.6740819,8.54893933421863e-11,0,0.4798015077804203,Honduras,21717604952.1835,8,180
2016,HRV,2894905995294054,2.487029243281036e-5,0,0.5592602342504444,Croatia,52650714171.8617,63,1684
2016,HTI,0,0,0,0.4260140128523698,Haiti,14069277526.2278,4,45
2016,HUN,8069217905762.767,6.066980817731604e-7,0,0.5472004529098606,Hungary,128983560865.293,186,3890
2016,IDN,7857466689273.618,6.568891852687386e-8,0,0.9186861678366246,Indonesia,931877364037.698,831,13596
2016,IND,13840113574791682,1.370893097580872e-4,0.00546448087431694,0.8630136725258636,India,2294796885663.16,9075,139945
2016,IRL,214148222437597760,0.001998524802768742,0,0.8931404570581697,Ireland,305431252708.748,508,11032
2016,IRN,0,2.5838178263626332e-9,0,0.44718591154895193,Iran,478618064870.999,104,1221
2016,ISL,0,0,0,0.5309864249861991,Iceland,21083713310.457,31,703
2016,ISR,523028963043729100,0.004403833140339097,0,0.8716170956800818,Israel,321940971558.016,935,13753
2016,ITA,8035752273558414,1.5229419430284885e-4,0,0.9536981731125347,Italy,1887111188176.93,1702,59893
2016,JAM,0,0,0,0.5118146991883772,Jamaica,14898999754.1229,29,348
2016,JOR,0,1.471067712088825e-11,0,0.4798015077804203,Jordan,39892551126.7606,63,1095
2016,JPN,12498714822923911e4,1.0264073592082457,0.00546448087431694,0.5658737376418952,Japan,5003677627544.24,1675,52736
2016,KAZ,124883522673.59245,3.04991543131905e-9,0,0.4594044384824727,Kazakhstan,137278320084.171,24,483
2016,KEN,467732247842470.1,3.8645696245342975e-6,0,0.42601401285236973,Kenya,74815144163.8931,195,2427
2016,KGZ,0,0,0,0.45940443848247264,Kyrgyzstan,6813095379.1187,9,72
2016,KHM,0,0,0,0.45940443848247264,Cambodia,26556545153.3573,23,349
2016,KIR,0,0,0,0.4137400418433584,Kiribati,206467818.503227,0,0
2016,KNA,0,0,0,0.5532942930609951,St. Kitts & Nevis,1006818518.51852,2,46
2016,KOR,17579187633249438e3,0.18520504319559694,0.02179787425689065,0.7272084398966581,South Korea,1579150518945.44,1352,20531
2016,KWT,0,1.254818471352337e-11,0,0.45940443848247264,Kuwait,109406674124.652,30,817
2016,LAO,0,0,0,0.42601401285236973,Laos,15912501722.6143,2,41
2016,LBN,1334005283994.7432,8.348900659704839e-8,0,0.45940443848247264,Lebanon,51147308774.1294,77,1951
2016,LBR,0,0,0,0.44641108215031733,Liberia,3398419600,2,46
2016,LBY,0,0,0,0.48186686697576725,Libya,49912073701.298,0,60
2016,LCA,0,0,0,0.5118146991883772,St. Lucia,1868544444.44444,2,24
2016,LKA,1173128410.8356667,4.2286700807636635e-9,0,0.4260140128523698,Sri Lanka,88000211171.5956,71,1229
2016,LSO,0,0,0,0.49202003471394096,Lesotho,2114426452.2019,1,27
2016,LTU,18759594986759152,1.799738786443239e-4,0,0.5211219139384095,Lithuania,42970749245.0336,144,1956
2016,LUX,357899743111616700,0.0030635813977002435,0,0.6192780313979013,Luxembourg,62216885435.9488,74,1700
2016,LVA,14353574583157.527,3.821482608135085e-7,0,0.5453257551905577,Latvia,27117105059.5075,63,940
2016,MAC,0,0,0,0.476368092250396,Macao SAR China,44964868323.7558,2,71
2016,MAR,817002793.7198148,1.6642109912368142e-10,0,0.4594044384824727,Morocco,111572947004.917,63,1193
2016,MDA,57976266476.12868,1.3082699368283102e-9,0,0.5145369781847969,Moldova,7980917075.7748,12,196
2016,MDG,0,0,0,0.42601401285236973,Madagascar,11848613858.442,6,97
2016,MDV,0,0,0,0.4594044384824727,Maldives,4409942623.85538,3,81
2016,MEX,12471866256636.764,8.208984969559907e-7,0,0.8963534585127341,Mexico,1112233497452.7,1008,20691
2016,MKD,0,0,0,0.5369713262935224,North Macedonia,10672467073.2873,17,275
2016,MLI,0,0,0,0.4594044384824727,Mali,16743796799.8329,5,53
2016,MLT,274314425894017500,0.002513179325304371,0,0.5734925764246313,Malta,12025782834.1534,55,649
2016,MMR,0,0,0,0.4382325397858904,Myanmar (Burma),63298361983.5653,29,295
2016,MNG,0,0,0,0.4260140128523698,Mongolia,11181350649.3573,12,206
2016,MOZ,0,0,0,0.4798015077804202,Mozambique,12069051237.1711,3,113
2016,MRT,0,0,0,0.4260140128523697,Mauritania,6398747592.13185,0,14
2016,MUS,0,0,0,0.5020539317797256,Mauritius,12757680846.5663,39,634
2016,MWI,0,0,0,0.4798015077804203,Malawi,7909868618.46366,5,86
2016,MYS,51565970017939.09,2.667930125710427e-7,0.01092896174863388,0.8814350674289606,Malaysia,301256033870.334,341,6399
2016,NAM,0,0,0,0.49202003471394096,Namibia,10722018732.0936,12,169
2016,NCL,0,0,0,0.45016971650540377,New Caledonia,8724568954.89799,1,42
2016,NER,0,0,0,0.4260140128523697,Niger,10398861981.7583,0,15
2016,NGA,397002112.5042282,5.362155164334581e-12,0,0.9711632427819508,Nigeria,404649125252.16,432,4501
2016,NIC,0,0,0,0.4594044384824727,Nicaragua,13286093388.4752,11,145
2016,NLD,136279166470288770,0.0011408199102467265,0,0.865238365893191,Netherlands,797163949289.885,3033,43447
2016,NOR,118480345510078290,9.460748760419246e-4,0,0.840431627964035,Norway,370956547619.048,480,7499
2016,NPL,0,0,0,0.4260140128523698,Nepal,24524109483.5293,42,656
2016,NZL,20355735346027068,1.8271686458048997e-4,0,0.5187678980526784,New Zealand,189100085275.23,367,8838
2016,OMN,0,0,0,0.4594044384824727,Oman,75128738621.5865,16,502
2016,PAK,1251165913564.0989,6.231516125332348e-8,0,0.42601401285236973,Pakistan,313630000130.435,350,5022
2016,PAN,0,0,0,0.4798015077804203,Panama,59760858717.8359,36,686
2016,PER,0,0,0,0.47980150778042024,Peru,191898104390.379,118,2076
2016,PHL,948138248654526.1,9.964630999448332e-6,0,0.9037949705375024,Philippines,318627003016.731,260,5461
2016,PNG,3241637014.8964586,1.541742511435018e-9,0,0.4586296090838381,Papua New Guinea,20758876952.6232,1,84
2016,POL,195084117356418500,0.0016497362097898094,0,0.9026892687590068,Poland,473259583969.643,571,10377
2016,PRT,4880047732444326,4.36822141127724e-5,0,0.5534307211151263,Portugal,206305431241.638,448,10488
2016,PRY,0,0,0,0.4798015077804202,Paraguay,36089700222.9546,4,272
2016,PYF,0,0,0,0.492020034713941,French Polynesia,5497036476.8031,0,12
2016,QAT,4741025425681.074,3.2251111381498276e-7,0,0.4785761642802945,Qatar,151732142857.143,32,919
2016,ROU,727590682666113.5,7.109488427303745e-6,0,0.5343316426592332,Romania,185290759248.844,511,9219
2016,RUS,1357613681592289800,0.012576622396132331,0.01639344262295082,0.8326950326855406,Russia,1276786350881.14,337,7895
2016,RWA,0,0,0,0.47980150778042024,Rwanda,8695272057.91798,15,198
2016,SAU,2860597757592466.5,2.402896248066e-5,0.03819131687984147,0.9708853287011731,Saudi Arabia,689279466666.667,184,3525
2016,SDN,0,0,0,0.43823253978589044,Sudan,42630376000,9,89
2016,SEN,0,0,0,0.45940443848247264,Senegal,19040312333.1864,19,258
2016,SGP,309811224082427100,0.0032111392040654607,0.027172281270641925,0.8420520918730033,Singapore,319646468521.497,1089,16931
2016,SLB,0,0,0,0.49202003471394096,Solomon Islands,1379486290.71433,2,9
2016,SLV,0,0,0,0.49202003471394096,El Salvador,24191430000,16,307
2016,SOM,0,0,0,0.43823253978589044,Somalia,6613743069.99912,7,61
2016,SRB,326667369315525.6,2.960847282240664e-6,0,0.5501662800709102,Serbia,42225495909.5633,68,1503
2016,STP,0,0,0,0.4594044384824727,São Tomé & Príncipe,292267272.196925,0,0
2016,SUR,0,0,0,0.5199751091884368,Suriname,3317421648.09918,1,47
2016,SVK,1242783624199839.8,1.1685349242229748e-5,0,0.5602245240560553,Slovakia,90347173228.6356,87,2928
2016,SVN,0,0,0,0.5741035590404514,Slovenia,44290685824.0682,53,1579
2016,SWE,9.248082811167361e+18,0.07887111219412479,0,0.7919438523982891,Sweden,513058312950.939,1174,24303
2016,SWZ,0,0,0,0.4260140128523697,Eswatini,3722306116.72872,0,34
2016,SYC,40496423598.97729,3.42968187183601e-9,0,0.49202003471394096,Seychelles,1568513348.14463,5,124
2016,TCD,0,0,0,0.42601401285236973,Chad,13026289835.7789,0,7
2016,TGO,0,0,0,0.4594044384824727,Togo,6071167584.1951,8,43
2016,THA,85553223294657.22,2.0614228655180256e-6,0.00546448087431694,0.8923298435774759,Thailand,413366349747.508,161,4146
2016,TJK,0,0,0,0.42601401285236973,Tajikistan,6992416096.89018,2,19
2016,TKM,0,0,0,0.4260140128523697,Turkmenistan,36169428571.4286,0,3
2016,TON,0,0,0,0.5118146991883771,Tonga,420828262.317922,0,4
2016,TTO,0,0,0,0.492020034713941,Trinidad & Tobago,23624322192.6274,37,899
2016,TUN,29711031377.118496,3.536793080627376e-9,0,0.48186686697576725,Tunisia,44360072680.4476,57,835
2016,TUR,1464601715379548.8,1.4508542364399801e-5,0.00546448087431694,0.9399047756728598,Turkey,870818016909.84,989,25316
2016,TUV,0,0,0,0.41374004184335833,Tuvalu,41629064.2232388,0,1
2016,TWN,131497026832866530,0.0015704595528884813,0.02185792349726776,0.7202340393698532,Taiwan,NA,230,4894
2016,TZA,0,0,0,0.4260140128523697,Tanzania,49774409374.4538,27,495
2016,UGA,0,0,0,0.48983540484620475,Uganda,29203988696.2626,69,667
2016,UKR,579677734047626.1,4.6229855030777145e-6,0,0.447185911548952,Ukraine,93355869403.9223,388,5621
2016,URY,18682911679501792,1.6205492399135046e-4,0,0.5187678980526784,Uruguay,57480787465.2716,48,765
2016,USA,31223615768985384e4,2.4566340896771357,0.44619588062211013,0.8452209979368261,United States,18695110842000,37386,996767
2016,UZB,0,0,0,0.4471859115489519,Uzbekistan,86138288644.171,11,122
2016,VCT,0,0,0,0.5443110247474565,St. Vincent & Grenadines,814303703.703704,0,0
2016,VEN,0,0,0,0.4798015077804203,Venezuela,112915034262.314,16,471
2016,VNM,90671763706863.33,3.408493224332787e-6,0,0.45940443848247264,Vietnam,257096001177.982,403,7009
2016,VUT,0,0,0,0.49202003471394096,Vanuatu,804323576.861028,0,0
2016,WSM,0,0,0,0.4708481360173588,Samoa,843924796.697421,0,0
2016,YEM,0,0,0,0.39642441587492533,Yemen,31317825274.1507,1,43
2016,ZAF,1540756815111296e3,0.012963563319222882,0.005434456254128386,0.865566197485377,South Africa,323585509674.481,799,21934
2016,ZWE,0,0,0,0.492020034713941,Zimbabwe,20559250000,14,381
2017,AFG,0,0,0,0.41442734544008347,Afghanistan,18753456497.8159,3,98
2017,AGO,0,0,0,0.41442734544008347,Angola,84376935689.3366,12,174
2017,ALB,907186544.1471968,9.078360285741383e-11,0,0.5615095308048333,Albania,13258268435.6048,23,339
2017,AND,0,0,0,0.6080304658294743,Andorra,3000160414.63795,7,64
2017,ARE,3028707105679.0063,5.3189293414135363e-8,0.01069456553327521,0.9678960249351626,United Arab Emirates,403365010211.028,1018,19886
2017,ARG,9373435531094050,4.4844256578580044e-5,0,0.8995942436170197,Argentina,643628393281.364,323,11413
2017,ARM,0,0,0,0.4939931654252156,Armenia,11527458709.0158,46,398
2017,ATG,0,0,0,0.5064113402597784,Antigua & Barbuda,1534855555.55556,0,19
2017,AUS,422131525695681700,0.0036938849115273342,0,0.809209626329468,Australia,1330890554614.09,3061,83382
2017,AUT,30615125424513628,1.770373523100055e-4,0,0.7842010313951421,Austria,414926138132.691,329,7887
2017,AZE,0,0,0,0.4753314596766616,Azerbaijan,40866627351.9817,40,514
2017,BDI,0,0,0,0.45728235397456507,Burundi,2831362208.34039,0,8
2017,BEL,9835897522532338,5.6621308526239034e-5,0,0.7729025573375942,Belgium,500908767351.53,597,18051
2017,BEN,0,0,0,0.4144273454400834,Benin,12701655836.9467,13,68
2017,BFA,0,0,0,0.457282353974565,Burkina Faso,14106955615.3442,1,57
2017,BGD,0,1.1434853064429262e-11,0,0.45728235397456507,Bangladesh,293732446624.596,241,3113
2017,BGR,21535992593712624,1.1209989923588459e-4,0,0.5939937135433457,Bulgaria,59167647387.606,125,2109
2017,BHR,0,0,0,0.4939931654252156,Bahrain,37204813829.7872,27,590
2017,BHS,0,7.65743024544463e-12,0,0.5064113402597784,Bahamas,12446900000,13,182
2017,BIH,0,1.4344081478157023e-13,0,0.5679129058488971,Bosnia & Herzegovina,18326373135.6099,18,294
2017,BLR,7314983096710329,3.657878720386698e-5,0,0.5287121756807047,Belarus,54725405751.1559,36,394
2017,BLZ,31180060129.855953,3.490047584264744e-9,0,0.5064113402597783,Belize,2266028250,13,131
2017,BMU,0,0,0,0.48774963451122455,Bermuda,7142316000,11,265
2017,BOL,5625707794818.069,1.8826895997747783e-7,0,0.4759440597231188,Bolivia,45927439594.7902,7,260
2017,BRA,28702427841500104,1.9481629249584742e-4,0.005356969873098905,0.861217349763401,Brazil,2063514688805.78,2616,83226
2017,BRB,0,0,0,0.548338346670349,Barbados,5683150000,8,156
2017,BRN,0,0,0,0.4939931654252156,Brunei,12128168045.1245,1,54
2017,BTN,0,0,0,0.457282353974565,Bhutan,2591358009.20276,1,28
2017,BWA,0,0,0,0.46970052880912777,Botswana,16105155856.7708,5,165
2017,CAF,0,0,0,0.41442734544008347,Central African Republic,2072349972.6818,0,4
2017,CAN,850302387964845e4,0.04297826494794377,0,0.7590980038629457,Canada,1649265644244.09,3791,87640
2017,CHE,1055079159381284500,0.005275363325054849,0,0.82806009212822,Switzerland,695200833086.499,1170,30220
2017,CHL,4483453058349.87,1.3979737478742038e-7,0,0.5251722101267242,Chile,276154259981.097,224,4374
2017,CHN,6315982331375188e4,0.31862395293191415,0.08550808873389519,0.6830121298811113,China,12537559062282.9,2738,68140
2017,CIV,0,0,0,0.42648885707918344,Côte d’Ivoire,52512343996.69,14,258
2017,CMR,0,0,0,0.43305204688276167,Cameroon,36098547033.1655,32,258
2017,COG,0,0,0,0.4144273454400834,Congo - Brazzaville,11834473039.3645,0,17
2017,COL,9954575747365.486,3.5702802803072586e-7,0,0.8208421478269938,Colombia,311866875156.879,364,10453
2017,COM,0,0,0,0.45728235397456507,Comoros,1077439756.59451,0,8
2017,CPV,0,0,0,0.513647926524861,Cape Verde,1996741539.95088,1,29
2017,CRI,0,0,0,0.5260661013594238,Costa Rica,60516044656.5206,40,1146
2017,CUB,0,0,0,0.3075547304225442,Cuba,96850649700,0,35
2017,CYP,122128484656689140,6.349037769795007e-4,0,0.5590566461499363,Cyprus,22946570628.7576,164,1628
2017,CZE,5559655675224946,5.117521128505942e-5,0,0.6038355821572632,Czechia,221563575696.217,268,8416
2017,DEU,15766232659027483e4,0.7254159943511647,0,0.774178310058562,Germany,3765351626105.89,2634,89641
2017,DJI,0,0,0,0.457282353974565,Djibouti,2762581334.22612,0,12
2017,DMA,0,0,0,0.5163784301458892,Dominica,563355555.555555,1,18
2017,DNK,57327862157667200,2.736863752192953e-4,0,0.8132890770118836,Denmark,331610593961.988,533,13742
2017,DOM,0,0,0,0.4939931654252156,Dominican Republic,79070274743.1658,28,655
2017,DZA,0,0,0,0.4950232250821826,Algeria,189880896903.073,21,305
2017,ECU,0,0,0,0.4572823539745651,Ecuador,104467486000,26,1012
2017,EGY,2186274494.461987,2.6012525466967418e-12,0,0.9071346571561674,Egypt,248362771739.13,265,3787
2017,ESP,265981528654963870,0.00128356678649455,0,0.8867564034992933,Spain,1321754088818.83,1874,51617
2017,EST,1623527183276874.8,8.035741565270982e-6,0,0.5906424411508702,Estonia,27469461919.1189,270,2204
2017,ETH,0,0,0,0.41442734544008353,Ethiopia,76366081766.6667,45,345
2017,FIN,1449900838954415400,0.007585029628746742,0,0.6345127571046332,Finland,253846138440,404,9696
2017,FJI,0,0,0,0.5064113402597783,Fiji,5353469174.47838,1,71
2017,FRA,4035554779884102700,0.019783554529005265,0.01068487842681391,0.7564407349301449,France,2588868323334.71,2612,74224
2017,FRO,0,0,0,0.6032097016160187,Faroe Islands,2980057377.87967,0,28
2017,FSM,0,0,0,0.4127341599120455,Micronesia (Federated States of),359000000,0,1
2017,GAB,0,0,0,0.45728235397456507,Gabon,14929487485.1623,3,26
2017,GBR,4890877706873642e4,0.22634720769794225,0,0.748837377504208,United Kingdom,2699118387873.1,7394,186479
2017,GEO,19080695786641.59,5.492094394821123e-7,0,0.4949862207763069,Georgia,16473125375.0684,36,388
2017,GHA,14648615833390.188,3.478643684218241e-7,0,0.45728235397456507,Ghana,60385409434.8567,99,1135
2017,GIN,0,0,0,0.4451135585218617,Guinea,10324668271.1362,2,37
2017,GMB,0,0,0,0.44511355852186174,Gambia,1504909462.69521,0,31
2017,GNB,0,0,0,0.41442734544008353,Guinea-Bissau,1469978606.12143,0,2
2017,GNQ,0,0,0,0.32496490745053946,Equatorial Guinea,12200913878.9827,0,8
2017,GRC,5848009256.483723,6.595344270721171e-10,0,0.6523959693064877,Greece,200381103984.298,178,6588
2017,GRD,0,0,0,0.5260661013594237,Grenada,1125685185.18519,2,37
2017,GRL,0,0,0,0.4386576525318868,Greenland,2851613679.03433,0,18
2017,GTM,0,0,0,0.4572823539745651,Guatemala,71653780740.4226,22,461
2017,GUY,0,0,0,0.4451135585218617,Guyana,4748174334.14044,2,53
2017,HKG,2339899541964367e3,0.014731932670406067,0.005356969873098905,0.7194835913926431,Hong Kong SAR China,341273289534.466,642,12949
2017,HND,0,3.9812597663058114e-13,0,0.45728235397456507,Honduras,23136247990.5977,7,187
2017,HRV,4050804072132956,1.932553306671636e-5,0,0.5864112801939286,Croatia,56182782585.9052,76,1760
2017,HTI,0,0,0,0.4264888570791835,Haiti,15093357161.1498,3,48
2017,HUN,3443429110678.894,1.137937373218989e-7,0,0.5680490742731646,Hungary,143335098991.862,186,4076
2017,IDN,9182467175497.787,3.662139125282238e-8,0,0.8853712787246412,Indonesia,1015618744159.73,873,14469
2017,IND,26525808705979720,1.5587467012001532e-4,0.016070909619296716,0.9042207251238669,India,2651474262755.45,8809,148754
2017,IRL,729030364244841e3,0.0038669078677804336,0,0.8126388006043334,Ireland,348355212568.515,501,11533
2017,IRN,1157796090.140366,3.0171807274825824e-9,0,0.4567067582339836,Iran,510239893417.645,87,1308
2017,IRQ,0,0,0,0.4265961408927869,Iraq,187217660050.676,27,318
2017,ISL,0,0,0,0.5767446116241046,Iceland,25060086487.8901,30,733
2017,ISR,76065279459109e4,0.0036203850765188506,0,0.8714985671258909,Israel,358451839052.991,971,14724
2017,ITA,13146077516151538,1.621413208556799e-4,0.005356969873098905,0.8539638572993898,Italy,1970720904584.71,1851,61744
2017,JAM,0,0,0,0.5260661013594238,Jamaica,15783583236.675,15,363
2017,JOR,0,7.049916206369744e-13,0,0.494986220776307,Jordan,41608435915.493,68,1163
2017,JPN,21665753009501114e4,1.004424647777292,0.13807032839290903,0.575727258418338,Japan,4930837369151.42,1776,54512
2017,KAZ,188019615903.09003,3.0465234779342154e-9,0,0.47533145967666174,Kazakhstan,166805788827.233,30,513
